,toxic,neutral
0,посадить бойцов в кузов им точно пизда,"Посадить бойцов в кузов, и им тогда точно будет плохо."
1,"потомушто долбоебы, зато щас разнообразного хлама полно","Потому что не в себе, зато сейчас разнообразной ерунды полно"
2,за деньги куда хочешь выйдут. дебилы!,За деньги они куда угодно пойдут. Не умные люди.
3,хуйня шо больше показать нечего,Мне не понравилось. Что больше показать нечего ?
4,"вот,вот! почему полицейские не задержали пидоренка? в россии запрещена реклама пидорства! почему не задержали?","Вот вот почему полицейские не задержали человека с нетрадиционной ориентацией, в России запрещена реклама нетрадиционных отношений! Почему не задержали?"
5,"Врубай перфоратор,сверло на пятьдесят,потом в эту дыру ори.. Вставь в нее шланг и затопи ихнахуй,еще в нее стрелять можно,осколочным,лучше фугасным..","Включай перфоратор, сверло на пятьдесят, потом в эту дыру кричи... Вставь в неё шланг и затопил их, ещё в неё стрелять можно, осколочным, лучше фугасным..."
6,"тунев ,тебе не надоело говорить как попугай одно и тоже,включи мозги ,если есть :нахера ты нужен штатам","Тунев тебе не надоело говорить как попугай одно и тоже? Включи мозг, если он есть у тебя? Зачем ты нужен штатам?"
7,"и что,никто не отпиздит пидара???","И что, никто его не поставит на место?"
8,"сколько в москве, небыл, сырость, пасмурно, пробки хамами и дебилами кишат. и миллион тунеядцев.","Давно не был в Москве, но тут по-прежнему сыро, пасмурно, пробки, много озлобленных людей.  И много неработающих"
9,"как эту рыжую мразь,земля досихпор носит.",Как эту рыжую девушку земля до сих пор носит
10,"пиздеж, не его слова оно чмо",Он врёт. Это не его слова. Он нехороший человек.
11,"заткнуть ей пасть,раз и навсегда, что бы не рыпалась в сторону нашего континента....пусть гавкает у себя.","Не давайте ей слова, раз и навсегда, чтобы даже не смотрела в сторону нашего континента...пусть свое мнение высказывает у себя."
12,"полный пиздец, по модельерам психушка плачет, вот одень наших мужиков в такую одежду особенно трусы охуительные.","это жесть, модельеры явно не в себе, вот одень наших мужиков в такую одежду, особенно в эти пёстрые трусы"
13,дерьмо он и его поганые песнюшки.терпеть не могу это быдло,"Песни у него плохие, да и сам он не очень. Не люблю его"
14,"Сажи даунам, которые его не смотрят","Сообщи не сведующим людям , которые не берут его во внимание"
15,​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,"​что вы люди пристали к бузовой - нормальная женщина, вы посмотрите вокруг - кругом цирк, пусть поет - приятная женщина"
16,"спасибо ,я уже домой погнал -в шкафу насрал ,черепаху выебал....","Спасибо, я уже домой пошёл - в шкафу беспорядок навела , черепаху отругал"
17,шавки пупкинские умеют воевать только с безоружными,"Они могут проявлять силу только там, где им не окажут сопротивления"
18,"это ответ чмошника!!! если сам оскорбляешь, это нормально а если ответа сразу хам","Это ответ недобросовестного человека . Если сам оскорбляешь , это нормально , а если ответят , сразу - хам ."
19,"ничего не меняется,визде пидараси,в погонах,борятся с корупцией,и злосними нарушителями.","Ничего не меняется, везде плохие люди в погонах борются с коррупцией и злостными нарушителями."
20,это картинка для пидоров из одноклассников,Это картинка для людей с нетрадиционной ориентацией из одноклассников
21,курящие не интерисуют её пощла тогда на хуй,"Наши мнения расходятся, к сожалению, у меня есть эта вредная привычка, поэтому нам придётся прекратить общение"
22,"как всегда попрошайничаешь,привыкла побирушка клянчить у подписчиков,сейчас начнет просить детские.вещи,себе чехлы,уебище,днище","Как всегда просишь у других, привыкла просить у подписчиков, сейчас начнёшь и детские вещи, чехлы просить"
23,"В role reversal треде fet поселился шизик, портящий всем живущим там картину","В role reversal треде fet поселился больной на голову человек, портящий всем живущим там картину"
24,"здесь речь идёт совсем о другом а ты со своим весом,пей и жри сама долбоебка.","здесь речь идёт совсем о другом, а ты сама решай что и как будешь кушать, имея такой вес."
25,ещё раз для совсем тупых зомбируют только того кто безмозгл,Ещё раз для тех кто не понял зомбируют только того кто не сразу понимает
26,"чо у тебя украли толстомордый?мерседес, коттедж,чо было у тебя в 90х???хуй да душа.","что у тебя украли? мерседес, коттедж, что было у тебя в 90х? душа да и только"
27,у меня время до хуя! я пенсионер,"Так как я нахожусь на пенсии, то располагаю достаточным количеством времени"
28,кому не нравиться жить в современной россии - пиздуйте отсюда,кому не нравиться жить в современной россии - можете жить в другой стране вас не кто не держит
29,"пидор этот капитан, на основании чего он выебывается?","Не хороший этот капитаг, на основании чего он так вызывающе себя ведет?"
30,"то есть нормально трахаться на стороне, когда состоишь в отношениях?","То есть нормально встречаться с другим на стороне, когда ты уже состоишь в отношениях"
31,"страна,так называемый агрессор все это решит,и вас,хохлоуебков,даже не спросит.","Страна , так называемый агрессор все это решит и вас даже не спросит"
