,toxic,neutral
0,долбоёб,христов человек
1,долбоёб,или прикидывается
2,долбоёб,или прикидываешься
3,долбоёб,или прикидывается
4,долбоёб,или прикидываешься
5,долбоёб,пень с глазами
6,долбоёб,пень с ушами
7,долбоёб,медный лоб
8,долбоёб,балда балдой
9,долбоёб,дубина стоеросовая
10,долбоёб,полено тюменское
11,долбоёб,конь бельгийский
12,дохуя,во множестве
13,дохуя,в обилии
14,дохуя,в изобилии
15,дохуя,море разливное
16,дохуя,море разливанное
17,дохуя,что лесу
18,дохуя,воз и маленькая тележка
19,дохуя,вагон и маленькая тележка
20,дохуя,имя им легион
21,дохуя,адский ад
22,дохуя,пруд пруди
23,дохуя,как дров
24,дохуя,что дров
25,дохуя,без числа
26,дохуя,лошадиная доза
27,дохуя,с лошадиную дозу
28,дохуя,как грязи
29,дохуя,что грязи
30,дохуя,как собак
31,нахуй,к чему
32,охуенно,ишь ты
33,поебать,половой акт
34,поебать,половой акт
35,поебать,плешь впустить
36,поебать,запахать целину
37,поебать,антихриста втереть
38,поебать,выполнить супружеский долг
39,поебать,напоить коня
40,поебать,взбить пахту
41,поебать,взбить сливки
42,поебать,взбить сому
43,поебать,выделать овчинку
44,поебать,выделать кожу
45,поебать,вре́зать шершавого
46,поебать,оседлать коня
47,поебать,продрать обрезом
48,поебать,мышиный глаз разворошить
49,похеру,без разницы
50,похеру,какая разница
51,похеру,наплевать и растереть
52,похеру,начхать и растереть
53,похеру,до барабана
54,похеру,до лампады
55,похеру,до фонаря
56,похеру,до фени
57,похеру,по барабану
58,похеру,по барабасу
59,похеру,по шарабану
60,похеру,по фонарю
61,похеру,что так
62,похеру,что эдак
63,похеру,как с гуся вода
64,похеру,будто с гуся вода
65,похеру,словно с гуся вода
66,похеру,что в лоб
67,похеру,что по лбу
68,похеру,что с горы
69,похеру,что под гору
70,похеру,что совой об пень
71,похеру,до одного места
72,похеру,как до одного места
73,похеру,до звезды
74,похеру,как до звезды
75,похеру,как до звездищи
76,похеру,один шиш
77,похуй,без разницы
78,похуй,какая разница
79,похуй,наплевать и растереть
80,похуй,начхать и растереть
81,похуй,до барабана
82,похуй,до лампады
83,похуй,до фонаря
84,похуй,до фени
85,похуй,по барабану
86,похуй,по барабасу
87,похуй,по шарабану
88,похуй,по фонарю
89,похуй,что так
90,похуй,что эдак
91,похуй,как с гуся вода
